sample,group
ERR2209858,Control
ERR2209859,OA
ERR2209860,OA
ERR2209861,OA
ERR2209862,OA
ERR2209863,OA
ERR2209864,OA
ERR2209865,OA
ERR2209866,OA
ERR2209867,OA
ERR2209868,OA
ERR2209869,OA
ERR2209870,Control
ERR2209871,Control
ERR2209872,OA
ERR2209873,OA
ERR2209874,OA
ERR2209875,OA
ERR2209876,OA
ERR2209877,OA
ERR2209878,OA
ERR2209879,OA
ERR2209880,OA
ERR2209881,OA
ERR2209882,OA
ERR2209883,Control
ERR2209884,OA
ERR2209885,OA
ERR2209886,OA
ERR2209887,OA
ERR2209888,OA
ERR2209889,OA
ERR2209890,OA
ERR2209891,OA
ERR2209892,OA
ERR2209893,Control
ERR2209894,Control
ERR2209895,Control
ERR2209896,Control
ERR2209897,OA
ERR2209898,OA
ERR2209899,OA
ERR2209900,OA
ERR2209901,OA
ERR2209902,OA
ERR2209903,OA
ERR2209904,OA
ERR2209905,OA
ERR2209906,OA
ERR2209907,OA
ERR2209908,OA
ERR2209909,OA
ERR2209910,Control
ERR2209911,OA
ERR2209912,OA
ERR2209913,OA
ERR2209914,OA
ERR2209915,OA
ERR2209916,OA
ERR2209917,OA
ERR2209918,OA
ERR2209919,OA
ERR2209920,OA
ERR2209921,OA
ERR2209922,OA
ERR2209923,OA
ERR2209924,OA
ERR2209925,OA
ERR2209926,OA
ERR2209927,OA
ERR2209928,OA
ERR2209929,OA
ERR2209930,OA
ERR2209931,OA
ERR2209932,OA
