gene	log2FC	pval	FDR
ENSG00000187957	0.8166600103493857	2.7431207266952087e-16	1.1892799910587078e-11
ENSG00000109265	0.44482447436488903	7.560421747944153e-16	1.638910424410594e-11
ENSG00000187773	0.597669987066354	1.3140380296550148e-14	1.8990039591897723e-10
ENSG00000120659	0.8539835714461412	3.68003347744708e-14	3.988696285367954e-10
ENSG00000279810	0.4045722523397569	5.083679940272778e-14	4.0416669106871466e-10
ENSG00000181215	0.46831159132250577	5.593357505275718e-14	4.0416669106871466e-10
ENSG00000126233	0.45319023981281004	7.528819551692776e-14	4.663028166623433e-10
ENSG00000181617	0.4809047462540439	3.1824549268610705e-13	1.7246916669257714e-09
ENSG00000144649	0.5051054495839746	8.646078801472857e-13	4.165008293753952e-09
ENSG00000140368	0.35345957262614314	1.0137546393714897e-12	4.395133238995094e-09
ENSG00000103355	0.4604760845218909	3.1350246717146304e-12	1.2356272240198892e-08
ENSG00000260566	0.4581854488571202	8.07356279809208e-12	2.9169109592606845e-08
ENSG00000275966	-0.41146468197120434	1.9798467899964764e-11	6.60278904463825e-08
ENSG00000276023	0.8104333467252673	2.8888113297618986e-11	8.946029657273366e-08
ENSG00000279193	0.33979881593952976	5.299668516849238e-11	1.531780856986658e-07
ENSG00000164076	0.3778984807709955	7.015376179774391e-11	1.8742797684643295e-07
ENSG00000230472	0.3644630202835316	7.349269072516112e-11	1.8742797684643295e-07
ENSG00000183114	0.6034409470069468	8.273951166941758e-11	1.8961972408515824e-07
ENSG00000136099	0.41830583187169634	8.309940624190996e-11	1.8961972408515824e-07
ENSG00000255606	0.3154126579582416	1.0039623847986103e-10	2.158931574047644e-07
ENSG00000264187	-0.6626944072445191	1.0457285908199867e-10	2.158931574047644e-07
ENSG00000188487	0.8253797210531555	1.7510499058653316e-10	3.4507622122177934e-07
ENSG00000110583	0.2134243129634179	2.095635293855192e-10	3.950272528917037e-07
ENSG00000252271	0.3005480036177529	2.7593854255565266e-10	4.984714796875134e-07
ENSG00000188996	-0.43913100126137833	3.077083162134752e-10	5.131604007957515e-07
ENSG00000254626	0.3301082160303146	3.077423692928045e-10	5.131604007957515e-07
ENSG00000266627	0.28057523592571476	3.4649434522449644e-10	5.563800865632609e-07
ENSG00000228033	0.3080788424122498	3.7445529707673345e-10	5.798039073129207e-07
ENSG00000011201	1.7847447082304946	4.241469258417241e-10	6.340996541333775e-07
ENSG00000181938	0.29563454503521025	1.0649840093350385e-09	1.3991630825672908e-06
ENSG00000250259	0.2986580087497732	9.687665820334666e-10	1.3991630825672908e-06
ENSG00000179820	0.7962741918157072	1.0401998323211776e-09	1.3991630825672908e-06
ENSG00000167105	-0.7077053348228729	1.0363485411568977e-09	1.3991630825672908e-06
ENSG00000243810	0.2732375814291119	1.2157445013599134e-09	1.550253025189972e-06
ENSG00000152092	0.30451985323438846	1.323867673773706e-09	1.6398937998988292e-06
ENSG00000137831	-0.9635752832680646	1.5795766393667665e-09	1.9022929222151713e-06
ENSG00000165953	0.27699861216801447	2.2117112899854803e-09	2.5915876480356893e-06
ENSG00000215174	0.2839616614849815	2.4163284500038828e-09	2.6282697212612267e-06
ENSG00000131620	0.8664822230224529	2.424882685975068e-09	2.6282697212612267e-06
ENSG00000196090	0.28204057378610237	2.3230750181652827e-09	2.6282697212612267e-06
ENSG00000254906	0.26891872064695976	2.5649622307548354e-09	2.7122911588872168e-06
ENSG00000249379	0.2800642999718894	2.848169060681682e-09	2.9400564196631984e-06
ENSG00000120658	0.3340729750184488	4.0960145792289725e-09	4.107677632932019e-06
ENSG00000170961	0.6605955643260908	4.1687882792990155e-09	4.107677632932019e-06
ENSG00000235296	0.2720378548791682	4.342713469724474e-09	4.183963166220102e-06
ENSG00000267474	0.25614202606486347	5.020475609300343e-09	4.7317982617655735e-06
ENSG00000171195	0.29465344211564926	5.599522762323575e-09	5.165261901288056e-06
ENSG00000115325	0.8146147883386496	6.362784568117084e-09	5.636745661690845e-06
ENSG00000165383	0.2803795819854812	6.370673219302304e-09	5.636745661690845e-06
ENSG00000185634	0.7110820141377425	6.6392207273928925e-09	5.756868292722377e-06
